"A empresa Biscobis Ltda fez uma pesquisa com 100 clientes para avaliar seus serviços, pediu para que cada um deles avaliasse com uma nota os sete quesitos abaixo. Calcule as medidas estatísticas apresentadas para cada um dos ítens abaixo",,,,,,,,,,,,,,
velocidade da expedição,nível de preço,flexibilidade negociação,imagem,serviços prestados,força vendas,qualidade produto,,velocidade da expedição,nível de preço,flexibilidade negociação,imagem,serviços prestados,força vendas,qualidade produto
4.1,0.6,6.9,4.7,2.4,2.3,5.2,,0.455458199,-1.466062966,-0.609970635,-0.431999954,-0.632719829,-0.438392397,-1.020083093
6,0.9,9.6,7.8,3.4,4.6,4.5,,1.881754942,-1.215086709,1.161732311,2.157681531,0.654375994,2.473705528,-1.439163831
4.6,2.4,9.5,6.6,3.5,4.5,7.6,,0.830799447,0.039794573,1.096113683,1.155224182,0.783085576,2.347092575,0.416765152
5.5,1.6,9.4,4.7,3.5,3,7.6,,1.506413694,-0.629475444,1.030495056,-0.431999954,0.783085576,0.447898276,0.416765152
2.4,1.6,8.8,4.8,2,2.8,5.8,,-0.820702045,-0.629475444,0.63678329,-0.348461841,-1.147558158,0.194672369,-0.660871032
3.9,2.2,9.1,5.6,3,2.5,8.3,,0.3053217,-0.127522931,0.833639173,0.319843058,0.139537664,-0.18516649,0.835845891
3.7,1.5,8.6,5.7,2.7,3.7,6,,0.1551852,-0.713134196,0.505546035,0.40338117,-0.246591082,1.334188949,-0.541133678
4.7,1.3,9.9,6.7,3,2.6,6.7,,0.905867697,-0.880451701,1.358588194,1.238762294,0.139537664,-0.058553537,-0.12205294
3.4,2,9.7,4.7,2.7,1.7,6.8,,-0.070019549,-0.294840436,1.227350939,-0.431999954,-0.246591082,-1.198070116,-0.062184263
3.2,4.1,5.7,5.1,3.6,2.9,4.8,,-0.220156048,1.46199336,-1.397394167,-0.097847504,0.911795158,0.321285323,-1.259557801
4.9,1.8,7.7,4.3,3.4,1.5,6.2,,1.056004196,-0.46215794,-0.085021614,-0.766152403,0.654375994,-1.451296023,-0.421396324
5.3,1.4,9.7,6.1,3.3,3.9,5.9,,1.356277195,-0.796792948,1.227350939,0.73753362,0.525666411,1.587414855,-0.601002355
4.7,1.3,9.9,6.7,3,2.6,6.8,,0.905867697,-0.880451701,1.358588194,1.238762294,0.139537664,-0.058553537,-0.062184263
3.3,0.9,8.6,4,2.1,1.8,6.3,,-0.145087798,-1.215086709,0.505546035,-1.01676674,-1.018848576,-1.071457163,-0.361527647
3.4,0.4,8.3,2.5,1.2,1.7,5.2,,-0.070019549,-1.63338047,0.308690152,-2.269838426,-2.177234817,-1.198070116,-1.020083093
3,4,9.1,7.1,3.5,3.4,8.4,,-0.370292547,1.378334608,0.833639173,1.572914744,0.783085576,0.954350089,0.895714567
5.1,1.4,8.7,4.8,3.3,2.6,3.8,,1.206140695,-0.796792948,0.571164662,-0.348461841,0.525666411,-0.058553537,-1.85824457
4.6,2.1,7.9,5.8,3.4,2.8,4.7,,0.830799447,-0.211181683,0.046215641,0.486919283,0.654375994,0.194672369,-1.319426478
5.2,1.3,9.7,6.1,3.2,3.9,6.7,,1.281208945,-0.880451701,1.227350939,0.73753362,0.396956829,1.587414855,-0.12205294
3.5,2.8,9.9,3.5,3.1,1.7,5.4,,0.005048701,0.374429582,1.358588194,-1.434457302,0.268247247,-1.198070116,-0.900345739
