Uma empresa está avaliando a performance de seus vendedores para isto sorteou 4 e analisou a quantidade de vendas diárias de cada um deles num período de 30 dias.,,,,,,,,,
Vendedor1,Vendedor2,Vendedor3,Vendedor4,,,Vendedor1,Vendedor2,Vendedor3,Vendedor4
44,53,69,45,Posição,Média, 51.07 , 58.40 , 54.17 , 57.30 
44,69,52,58,,Mediana,49,59,54.5,58
63,73,52,69,,Q1,42.25,52.25,44,49.25
53,45,59,67,,Q2,49,59,54.5,58
42,42,40,64,,Q3,57,67,62,66.75
42,56,47,54,,Moda,42,69,40,67
70,56,61,54,,Minimo,40,40,40,40
70,64,59,67,,Máximo,70,73,72,72
57,65,55,72,Dispersão,Amplitude,30,33,32,32
50,41,49,64,,Variância,88.27126437,99.35172414,119.6609195,91.32068966
70,71,47,41,,Desvio Padrão,9.395278834,9.967533503,10.93896337,9.556185937
48,40,70,68,,Coef Variação, 0.18 , 0.17 , 0.20 , 0.17 
40,58,72,50,,,,,,
42,45,62,64,,,,,,
43,52,40,56,,,,,,
51,57,54,58,,,,,,
63,69,67,67,,,,,,
47,70,58,61,,,,,,
41,61,72,40,,,,,,
47,63,62,43,,,,,,
53,64,48,68,,,,,,
59,70,40,47,,,,,,
57,54,66,61,,,,,,
42,51,43,55,,,,,,
55,67,40,47,,,,,,
58,69,56,66,,,,,,
48,60,65,46,,,,,,
52,55,40,51,,,,,,
41,45,40,67,,,,,,
40,67,40,49,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
